Organism,Strain,Treatment,ID number,Tentacle Count 1,Tentacle Count 2,Tentacle Count 3,Tentacle Count Average
Nematostella,NC,Control,NC11C1,12,12,12,12
Nematostella,NC,Control,NC11C2,11,11,12,11
Nematostella,NC,Control,NC11C3,14,14,14,14
Nematostella,NC,Control,NC11C4,11,11,11,11
Nematostella,NC,Control,NC11C5,12,12,12,12
Nematostella,NC,Control,NC11C6,14,14,14,14
Nematostella,NC,Control,NC11C7,12,12,12,12
Nematostella,NC,Control,NC11C8,6,6,6,6
Nematostella,NC,Control,NC11C9,14,14,14,14
Nematostella,NC,Control,NC11C10,12,12,12,12
Nematostella,NC,Antibiotic,NC11T1,0,0,0,0
Nematostella,NC,Antibiotic,NC11T2,0,0,0,0
Nematostella,NC,Antibiotic,NC11T3,0,0,0,0
Nematostella,NC,Antibiotic,NC11T4,11,11,11,11
Nematostella,NC,Antibiotic,NC11T5,0,0,0,0
Nematostella,NC,Antibiotic,NC11T6,12,12,12,12
Nematostella,NC,Antibiotic,NC11T7,11,11,12,11
Nematostella,NC,Antibiotic,NC11T8,12,12,12,12
Nematostella,NC,Antibiotic,NC11T9,11,11,11,11
Nematostella,ME,Antibiotic,NC11T10,11,11,11,11
Nematostella,ME,Control,ME10C1,8,8,8,8
Nematostella,ME,Control,ME10C2,11,10,11,11
Nematostella,ME,Control,ME10C3,13,12,13,13
Nematostella,ME,Control,ME10C4,13,12,13,13
Nematostella,ME,Control,ME10C5,12,12,11,12
Nematostella,ME,Control,ME10C6,14,14,14,14
Nematostella,ME,Control,ME10C7,10,10,9,10
Nematostella,ME,Control,ME10C8,13,13,13,13
Nematostella,ME,Control,ME10C9,13,13,12,13
Nematostella,ME,Control,ME10C10,13,12,13,13
Nematostella,ME,Antibiotic,ME10T1,8,9,9,9
Nematostella,ME,Antibiotic,ME10T2,14,14,14,14
Nematostella,ME,Antibiotic,ME10T3,14,15,14,14
Nematostella,ME,Antibiotic,ME10T4,10,11,13,11
Nematostella,ME,Antibiotic,ME10T5,12,13,13,13
Nematostella,ME,Antibiotic,ME10T6,14,14,14,14
Nematostella,ME,Antibiotic,ME10T7,10,10,11,10
Nematostella,ME,Antibiotic,ME10T8,14,15,13,14
Nematostella,ME,Antibiotic,ME10T9,0,0,0,0
Nematostella,ME,Antibiotic,ME10T10,8,8,8,8
Aiptasia,CC7,Control,CC7C1,27,27,27,27
Aiptasia,CC7,Control,CC7C2,25,25,25,25
Aiptasia,CC7,Control,CC7C3,17,17,17,17
Aiptasia,CC7,Control,CC7C4,30,30,30,30
Aiptasia,CC7,Control,CC7C5,20,21,21,21
Aiptasia,CC7,Control,CC7C6,27,28,28,28
Aiptasia,CC7,Control,CC7C7,22,22,22,22
Aiptasia,CC7,Control,CC7C8,19,19,18,19
Aiptasia,CC7,Control,CC7C9,20,20,21,20
Aiptasia,CC7,Control,CC7C10,24,25,25,25
Aiptasia,CC7,Antibiotic,CC7T1,20,20,20,20
Aiptasia,CC7,Antibiotic,CC7T2,20,19,19,19
Aiptasia,CC7,Antibiotic,CC7T3,9,9,10,9
Aiptasia,CC7,Antibiotic,CC7T4,12,11,12,12
Aiptasia,CC7,Antibiotic,CC7T5,18,18,18,18
Aiptasia,CC7,Antibiotic,CC7T6,12,12,12,12
Aiptasia,CC7,Antibiotic,CC7T7,17,17,17,17
Aiptasia,CC7,Antibiotic,CC7T8,7,7,7,7
Aiptasia,CC7,Antibiotic,CC7T9,18,17,18,18
Aiptasia,CC7,Antibiotic,CC7T10,14,15,14,14
Aiptasia,H2,Control,H2C1,30,31,33,31
Aiptasia,H2,Control,H2C2,30,28,28,29
Aiptasia,H2,Control,H2C3,26,27,25,26
Aiptasia,H2,Control,H2C4,23,22,22,22
Aiptasia,H2,Control,H2C5,15,13,13,14
Aiptasia,H2,Control,H2C6,17,16,15,16
Aiptasia,H2,Control,H2C7,29,28,27,28
Aiptasia,H2,Control,H2C8,28,27,25,27
Aiptasia,H2,Control,H2C9,6,6,6,6
Aiptasia,H2,Control,H2C10,33,38,,36
Aiptasia,H2,Antibiotic,H2T1,6,7,7,7
Aiptasia,H2,Antibiotic,H2T2,10,12,11,11
Aiptasia,H2,Antibiotic,H2T3,1,1,1,1
Aiptasia,H2,Antibiotic,H2T4,4,5,4,4
Aiptasia,H2,Antibiotic,H2T6,9,10,11,10
Aiptasia,H2,Antibiotic,H2T7,7,7,8,7
Aiptasia,H2,Antibiotic,H2T8,16,18,17,17
Aiptasia,H2,Antibiotic,H2T9,4,3,4,4
Aiptasia,H2,Antibiotic,H2T10,6,7,6,6
